trial_id,category,description,values_evaluated,selection_criterion,selected_value,counts_toward_dsr_trials,notes
1,hmm_state_count,Number of HMM states for the primary regime specification,2;3;4,BIC on initial window (informational only),3 (fixed by M2; not selected from this comparison),False,BIC computed for context only per regime.bic_for_state_counts; M2 already specifies 3 states as the primary spec. Not used to choose it.
2,hmm_state_count_robustness,Two-state vs three-state ERC comparison across the full universe,2;3,Sharpe ratio (pre-specified robustness check; not primary-spec selection),3 (primary spec unchanged),True,"Run as a pre-specified robustness check (M3 Scope and feasibility). Sharpe was observed over a sample that, before the calendar split existed, included what is now the designated final-test window."
3,refit_warm_start,EM warm-start vs fresh random init at each scheduled refit,True;False,erc_regime Sharpe/drawdown stability on the real universe,True,True,Fresh random inits caused month-to-month HMM state-label whipsaw; warm start adopted.
4,refit_state_cov_ewma,EWMA smoothing of state_covs across refits,None (disabled);smoothed (lambda<1),erc_regime Sharpe/drawdown on the real universe,None (disabled),True,Smoothing measured worse than warm-start alone; kept only as an opt-in toggle for reproducibility.
5,refit_align_to_fixed_reference,Align each refit to the initial-window HMM vs the immediately preceding refit,True;False,erc_regime Sharpe/drawdown on the real universe,False (previous-fit-chained),True,Measured as a no-op once warm-starting already keeps EM in the same basin.
6,refit_cadence,HMM/covariance/M0-M1 scheduled-refit frequency,monthly (every rebalance);quarterly (every 3rd rebalance),erc_regime Sharpe on the real universe,quarterly,True,"RESOLVED 2026-09-27 -- re-derived on validation-only data (2015-01-02 to 2018-12-31, final-test window never enters the series at all; see scripts/run_refit_cadence_validation_check.py and outputs/refit_cadence_validation_comparison.csv), per AnnaLisa's M3 review request. Same comparison basis as the original choice (matches/beats the no-refit baseline on erc_regime Sharpe): no_refit=0.405, monthly=0.386 (underperforms the no-refit baseline), quarterly=0.409 (matches/beats it). Quarterly is confirmed on legitimate validation-only evidence, not just the previously-contaminated comparison -- M2's monthly spec is superseded by this validation result, not retained as default."
7,initial_window_definition,Length of the initial model-fitting window before walk-forward begins,252 trading days (original; incorrect);M2-calendar-derived (~1946 trading days; correct),Correctness against M2's written calendar -- not a performance search,M2-calendar-derived,False,Bug fix: 252 days was simply wrong relative to M2's specified Apr 2007-Dec 2014 initial training period; not a choice among competing valid options.
8,portfolio_return_convention,Weighted sum of log returns vs weighted sum of simple returns for portfolio-level compounding,log-sum (incorrect);simple-sum (correct),Correctness -- log returns are not linear across assets,simple-sum,False,"Bug fix, not a performance-driven choice."
9,execution_timing,Same-close vs next-session-open execution of rebalance decisions,same-close (incomplete);next-open split-leg (per M2),Implementation completeness against M2's written design,next-open split-leg,False,Completes an already-specified requirement; not selected by comparing performance across alternatives.
10,hrp_vs_erc_robustness,Hierarchical Risk Parity vs ERC risk-budgeting construction on the primary 3-state/full-universe specification,ERC (SLSQP risk-budgeting solve);HRP (tree-based recursive bisection),erc_regime/hrp_regime Sharpe and regime effect on the real universe final test,ERC remains the primary allocator; HRP run only as a secondary robustness check,True,"Pre-specified-as-deferred robustness check (M2 scope note: 'HRP ... secondary robustness checks only if time allows'). Evaluated against final-test-period returns via scripts/run_hrp_and_nu_robustness.py, so it counts toward the multiple-comparisons trial count exactly like trial 2's 2-state check."
11,per_regime_nu_robustness,Shared M1 degrees-of-freedom (one nu across every HMM state) vs one nu per state,shared nu (fit_shared_nu);per-regime nu (fit_per_regime_nu),erc_regime/erc_blend Sharpe and reliability effect on the real universe final test,shared nu remains the default; per-regime nu run only as a secondary robustness check,True,"Pre-specified-as-deferred robustness check (M2 scope note: 'per-regime nu ... secondary robustness checks only if time allows'). Evaluated against final-test-period returns via scripts/run_hrp_and_nu_robustness.py, so it counts toward the multiple-comparisons trial count exactly like trial 2's 2-state check."
